run_id,run_index_in_day,character,difficulty,nightlord,enhanced,map,run_outcome,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,team_type,allies_rescued,runes_obtained,level,notes
95,2,recluse,depth2,Gnoster,TRUE,base,final_day,3,TRUE,9,45,duo,7,583296,15,enhanced 
96,3,wylder,depth2,Adel,FALSE,crater,victory,2,TRUE,14,85,duo,5,746024,15,
97,1,revenant,depth2,Fulghor,FALSE,base,victory,5,TRUE,13,90,duo,8,659841,15,
98,1,revenant,depth2,Adel,FALSE,base,final_day,3,TRUE,11,67,duo,20,524084,15,
99,2,guardian,depth2,Fulghor,FALSE,base,victory,3,TRUE,9,115,duo,11,539453,12,
100,1,wylder,depth3,Libra,FALSE,base,first_day,2,FALSE,4,45,duo,2,213838,9,
101,2,wylder,depth2,Adel,FALSE,base,victory,3,TRUE,10,91,duo,7,606275,15,
102,3,wylder,depth2,Heolstor,FALSE,base,victory,4,FALSE,15,86,duo,10,660553,15,
103,4,recluse,depth2,Heolstor,FALSE,base,first_day,2,FALSE,2,33,duo,4,79684,5,
104,5,recluse,depth2,Maris,TRUE,base,final_day,5,FALSE,10,101,duo,12,605253,15,enhanced
105,6,guardian,depth2,Gladius,FALSE,base,final_day,4,TRUE,12,69,duo,12,623514,15,
106,7,wylder,depth2,Heolstor,FALSE,base,second_day,5,TRUE,12,75,duo,5,811558,15,
107,1,wylder,depth2,Gladius,FALSE,mountaintop,victory,2,TRUE,12,78,duo,9,810000,15,
108,1,revenant,depth2,Gladius,FALSE,noklateo,victory,4,TRUE,14,80,duo,9,700361,15,
109,2,recluse,depth2,Gladius,TRUE,base,final_day,4,TRUE,10,67,duo,7,453990,13,enhanced
110,3,recluse,depth2,Maris,FALSE,base,victory,5,TRUE,15,118,duo,7,742846,15,
111,4,guardian,depth3,Adel,FALSE,base,first_day,2,FALSE,3,32,duo,13,115648,5,
112,5,wylder,depth2,Caligo,TRUE,base,final_day,6,FALSE,13,85,duo,3,609671,15,enhanced
113,6,wylder,depth2,Gnoster,FALSE,base,final_day,4,TRUE,10,77,duo,11,672488,15,
114,1,wylder,depth2,Gladius,TRUE,base,first_day,4,FALSE,4,30,duo,4,207141,9,
115,2,guardian,depth2,Fulghor,FALSE,base,victory,6,TRUE,14,58,duo,9,719810,15,
116,1,recluse,depth2,Adel,TRUE,base,final_day,6,FALSE,15,57,duo,18,582322,15,
117,1,revenant,depth2,Fulghor,FALSE,base,victory,4,TRUE,14,84,duo,6,1030905,15,
118,2,recluse,depth3,Gnoster,FALSE,base,victory,4,TRUE,13,46,duo,17,525799,14,
119,1,recluse,depth3,Gladius,FALSE,base,victory,6,TRUE,15,73,duo,10,804565,15,
120,1,wylder,depth3,Gnoster,TRUE,base,final_day,5,TRUE,15,98,duo,8,775807,15,
121,1,revenant,depth3,Caligo,TRUE,base,final_day,4,TRUE,12,62,duo,11,529751,14,
