run_id,session_id,run_index_in_day,run_outcome,run_outcome_ordinal,victory_binary,character,difficulty,difficulty_ordinal,nightlord,enhanced,map,team_type,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,allies_rescued,runes_obtained,level,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,strategy_type,after_victory
55,15,5,final_day,2,0,recluse,depth2,2,Adel,True,base,trio,6,True,15,116,22,539784,14,21,18,0.375,7,0.1282051282051282,35985.6,buff_focused,1.0
56,16,1,first_day,0,0,recluse,depth2,2,Fulghor,False,base,trio,0,False,2,36,10,49920,4,2,2,0.0,0,0.05405405405405406,9984.0,speedrun,0.0
57,16,2,first_day,0,0,revenant,depth2,2,Caligo,False,base,trio,2,True,4,47,10,114744,7,6,7,0.4,3,0.08333333333333333,14343.0,high_risk_castle,0.0
58,16,3,second_day,1,0,recluse,depth2,2,Gnoster,True,base,duo,3,True,10,103,11,522094,14,13,13,0.2727272727272727,4,0.09615384615384616,34806.26666666667,high_risk_castle,0.0
59,16,4,second_day,1,0,recluse,depth2,2,Fulghor,False,base,duo,3,True,10,70,7,436530,13,13,13,0.2727272727272727,4,0.14084507042253522,31180.714285714286,high_risk_castle,0.0
60,17,1,victory,3,1,recluse,depth2,2,Gladius,False,base,duo,6,True,14,68,8,535916,14,20,17,0.4,7,0.2028985507246377,35727.73333333333,buff_focused,0.0
61,17,2,final_day,2,0,wylder,depth2,2,Fulghor,True,base,trio,7,True,15,76,18,626480,15,22,18,0.4375,8,0.19480519480519481,39155.0,buff_focused,1.0
62,17,3,final_day,2,0,revenant,depth2,2,Fulghor,True,crater,trio,4,False,15,102,10,470472,14,19,15,0.25,4,0.14563106796116504,31364.8,loot_focused,0.0
63,17,4,final_day,2,0,revenant,depth2,2,Fulghor,True,crater,trio,3,True,16,108,9,749760,15,19,19,0.17647058823529413,4,0.14678899082568808,46860.0,loot_focused,0.0
64,18,1,final_day,2,0,revenant,depth2,2,Gnoster,True,rotted_woods,duo,4,False,14,102,6,588793,15,18,14,0.26666666666666666,4,0.13592233009708737,36799.5625,loot_focused,0.0
65,18,2,first_day,0,0,wylder,depth2,2,Caligo,False,base,duo,2,True,5,39,7,194281,9,7,8,0.3333333333333333,3,0.125,19428.1,high_risk_castle,0.0
66,18,3,victory,3,1,wylder,depth2,2,Caligo,False,base,trio,5,True,16,129,32,662432,15,21,19,0.29411764705882354,6,0.12307692307692308,41402.0,buff_focused,0.0
67,18,4,final_day,2,0,guardian,depth2,2,Fulghor,True,base,trio,4,True,12,89,32,558032,15,16,15,0.3076923076923077,5,0.13333333333333333,34877.0,loot_focused,1.0
68,18,5,final_day,2,0,recluse,depth2,2,Gnoster,True,base,trio,6,True,14,77,33,551104,15,20,17,0.4,7,0.1794871794871795,34444.0,buff_focused,0.0
