run_id,run_index_in_day,character,difficulty,nightlord,enhanced,map,run_outcome,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,team_type,allies_rescued,runes_obtained,level,notes,run_outcome_ordinal,difficulty_ordinal,victory_binary,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,enemies_per_level,session_id,cumulative_wins_in_session,win_rate_so_far_in_session,prev_run_outcome_ordinal,after_victory,strategy_type
59,4,recluse,depth2,Fulghor,False,base,second_day,3,True,10,70,duo,7,436530,13,,1,2,0,13,13,0.2727272727272727,4,0.14084507042253522,31180.714285714286,5.0,16,0,0.0,1.0,0.0,high_risk_castle
60,1,recluse,depth2,Gladius,False,base,victory,6,True,14,68,duo,8,535916,14,,3,2,1,20,17,0.4,7,0.2028985507246377,35727.73333333333,4.533333333333333,17,1,1.0,,0.0,buff_focused
61,2,wylder,depth2,Fulghor,True,base,final_day,7,True,15,76,trio,18,626480,15,,2,2,0,22,18,0.4375,8,0.19480519480519481,39155.0,4.75,17,1,0.5,3.0,1.0,buff_focused
62,3,revenant,depth2,Fulghor,True,crater,final_day,4,False,15,102,trio,10,470472,14,,2,2,0,19,15,0.25,4,0.14563106796116504,31364.8,6.8,17,1,0.3333333333333333,2.0,0.0,loot_focused
63,4,revenant,depth2,Fulghor,True,crater,final_day,3,True,16,108,trio,9,749760,15,,2,2,0,19,19,0.17647058823529413,4,0.14678899082568808,46860.0,6.75,17,1,0.25,2.0,0.0,loot_focused
64,1,revenant,depth2,Gnoster,True,rotted_woods,final_day,4,False,14,102,duo,6,588793,15,,2,2,0,18,14,0.26666666666666666,4,0.13592233009708737,36799.5625,6.375,18,0,0.0,,0.0,loot_focused
65,2,wylder,depth2,Caligo,False,base,first_day,2,True,5,39,duo,7,194281,9,,0,2,0,7,8,0.3333333333333333,3,0.125,19428.1,3.9,18,0,0.0,2.0,0.0,high_risk_castle
66,3,wylder,depth2,Caligo,False,base,victory,5,True,16,129,trio,32,662432,15,,3,2,1,21,19,0.29411764705882354,6,0.12307692307692308,41402.0,8.0625,18,1,0.3333333333333333,0.0,0.0,buff_focused
67,4,guardian,depth2,Fulghor,True,base,final_day,4,True,12,89,trio,32,558032,15,,2,2,0,16,15,0.3076923076923077,5,0.13333333333333333,34877.0,5.5625,18,1,0.25,3.0,1.0,loot_focused
68,5,recluse,depth2,Gnoster,True,base,final_day,6,True,14,77,trio,33,551104,15,,2,2,0,20,17,0.4,7,0.1794871794871795,34444.0,4.8125,18,1,0.2,2.0,0.0,buff_focused
69,1,recluse,depth2,Caligo,False,base,second_day,5,False,8,40,duo,9,613167,12,,1,2,0,13,8,0.5555555555555556,5,0.1951219512195122,47166.692307692305,3.076923076923077,19,0,0.0,,0.0,buff_focused
